;Nature-based Solutions;;;;;;;;;;;;;;;;;;;
Levers and barriers;ReMot;ONRes;ITHel2;KLTie_2;ChAgr;ReVe1;PNLi1;ReChi;ReBu2;ReSem_2;NCPro;KLTie_1;KLIn;ITHel1;IRAlp;WaHyM;IUIse;ReSem_1;EUGre;SlFor
Consultation process;;;;;;;;1;;1;;1;;;;;;;;1
Concertation process;;1;;;1;;;;;;;;;1;1;1;1;;;
Local hero involvement;;;;;;;1;;;;;1;1;;;;1;;1;
Political interest in the initiative;;1;;;1;;;;;;;;1;;;;1;;;
Institutions with decision-making horizontality;;;1;;;1;;1;1;;;;1;1;1;;1;;1;1
Societal mindset shift;;1;;1;;;1;;;;;1;;1;;;;1;;
External actors involvement;;1;;;;;;1;;;;1;1;;1;;;1;;1
Previous collaboration;;1;1;1;;1;1;;;;;1;1;;1;1;;;1;1
Business-as-usual approach;;;;;;;-1;-1;;;-1;;;;;-1;;;;-1
Legacy of cultural values;;;1;1;;1;;;1;;;;;;;;;;;1
Labour value;-1;;;-1;;1;1;;;1;;;;;;;;;;
Landscape aesthetic recognition;1;;;;;;1;;;1;;;;;1;;;;;1
Motivation to protect nature;1;1;1;1;1;;;;;1;;;;;;;;1;;1
Quality of the product;1;;;1;;;1;;;;;;;;;;;;;
Towards self-sufficient practices;1;;1;1;;;;;;;;;;;;;;;;
Intense personal involvement;1;1;;;;;;;;;;;;1;1;;;1;;
Grey solutions requirement;;;1;;-1;;;;;-1;1;;;;;;;;;
Grey solutions cons;1;;;;;;1;;;;;;;;;;;;;
Learning by doing approach;1;;;1;1;1;;;;;;;;;;;;;;
Adaptive capacity of nature;1;1;;1;;1;;;;;;;;;;;;1;;
Personal interest in scientific knowledge;1;1;1;;1;;1;;;;;;;;1;1;1;1;1;1
Observation of climate change from extern actors;;;;;;1;;;;1;1;;;1;1;;;;;
Personal experience of climate change;1;;;;;1;1;;1;1;;1;1;;;;;;;1
Uncertainties of future climate conditions;1;1;;;;;;;;-1;-1;;;;1;;;;;1
Cumulative climate impacts;1;;1;;;;;1;;-1;1;;1;1;;;;;;1
Increasing non-climatic disturbances;1;;;;;-1;;-1;;;1;;;;;;;;;1
Adapted species;1;1;1;1;;1;;1;1;;;;;;;;1;1;;1
Autodidact process of learning;1;;1;1;;1;;;;;;1;;;;;;;;
Scientific ecological knowledge;1;1;1;1;1;1;;1;;;1;;;;1;;;;1;1
Regulating NCP;1;1;1;1;1;;1;;;1;1;1;1;;1;;;;1;1
Material NCP;1;1;;;1;;1;1;;;;;;;1;;;;;1
NCP co-benefits;;1;1;1;1;;;;;;1;;;1;;1;;;;1
Technical knowledge gap;-1;;-1;;-1;;-1;-1;-1;-1;;;;;;;;;;
Previously acquired technical knowledge;;;;1;;;;1;;;;;;1;;1;;;;
Time lag before getting benefits;-1;-1;-1;;;;;-1;;;;;;-1;;-1;;;;
Favourable local socio-ecological context;;;;;1;1;;1;;1;1;;;;;1;1;;;1
Knowledge from extern experts;;;;;;;1;;1;;;1;1;;;;;;;
Lack of expertise in the field;;;;;;;;;;;;;;-1;;-1;;;-1;
Sharing technical knowledge between peers;1;1;1;1;;1;;1;;;;1;1;;1;;;1;;1
Practice in line with current policy or planning document;;;;;;;;;;1;;;1;;;1;1;1;;1
High inertia of society to adapt;;;;;;;-1;;;-1;-1;;;;;;;;;
Accessibility of the data;;;1;;;;1;;;;;;;;;;;-1;-1;1
Lack of policy-makers support;;-1;;;;-1;-1;;;;;;-1;;;-1;;;;-1
Legislations;;;;;1;1;;1;;1;1;;;;;1;;1;1;1
Constraints of ressource multi-use;;;;;;;;;;1;1;;;;1;-1;;;;-1
Funding opportunities;1;1;;;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1
Incentives;Few;No;Few;No;Few;Few;Few;Fully;Few;No;Fully;No;No;No;No;No;No;No;No;No
Required funding;No;Unlikely;No;No;Yes;Unlikely;Unlikely;Unlikely;Unlikely;No;Likely;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Owners approval requirement;;;;;-1;;;;;;;;;;-1;;-1;-1;;-1
Bureaucracy;;;;;;Few;;Few;;;;;;Hard;Hard;;;Hard;Hard;
Willingness to take economic risk;1;1;1;1;1;;-1;-1;;-1;-1;-1;;1;1;;1;1;1;
Up-to-date abandoned traditional habits;;;;1;1;;1;;;1;;;;;1;;;1;;1
Transdisciplinary approach;;1;;;;;;;;1;;;;;1;1;;1;1;1
Extern initiator;;;;;;;;1;;1;1;;;;;;1;;;
Social acceptability;;1;1;1;1;;;;;1;1;1;1;;;;1;;1;
Lack of external awareness;;;;;;;-1;;-1;;;-1;;;;-1;;;;
Sharing experiential knowledge with peers;1;1;1;1;1;;;;;;;;;;1;;;;;
Path-dependency of habits;-1;-1;;-1;;;-1;;;;-1;;;;;;;-1;;
Personal mindset change;1;1;1;1;;;;;;;;;;1;;;1;;;
Designing from existing initiatives;;;;;;;;;;;;;;1;;1;1;1;;
Dialogue between peers;;;;;;;;;;;;;;1;1;;;1;;
Lack of built sector;;;;;;;;;;;;;;-1;;-1;;-1;;
